Chromosome	WindowPosition	MethProp
Chr01	50000	86.2949260042283
Chr01	75000	90.365141955836
Chr01	100000	90.6664206642066
Chr01	125000	90.1994352276738
Chr01	150000	90.2216404886562
Chr01	175000	88.3493323709852
Chr01	200000	87.6308829249319
Chr01	225000	88.4673500379651
Chr01	250000	87.2190812720848
Chr01	275000	90.4588034188034
Chr01	300000	88.3622183708839
Chr01	325000	85.9878267096312
Chr01	350000	87.3489736070381
Chr01	375000	86.2340588010691
Chr01	400000	87.0125138019875
Chr01	425000	86.1595593461265
Chr01	450000	85.9818956336528
Chr01	475000	86.7865570253843
Chr01	500000	88.0746945898778
Chr01	525000	90.536709721278
Chr01	550000	90.3949853467926
Chr01	575000	88.6662143826323
Chr01	600000	89.0591115774746
Chr01	625000	88.0390355912744
Chr01	650000	88.7165450121655
Chr01	675000	89.2671285604311
Chr01	700000	88.7030088495575
Chr01	725000	90.5612144955926
Chr01	750000	90.3504353233831
Chr01	775000	91.3796548592189
Chr01	800000	92.2797288971041
Chr01	825000	92.040274742429
Chr01	850000	89.6301456618113
Chr01	875000	89.5380263984915
Chr01	900000	89.3344124312075
Chr01	925000	88.9036652611093
Chr01	950000	91.4839018170226
Chr01	975000	90.8106875203649
Chr01	1000000	89.3398516520566
Chr01	1025000	88.7611889306457
Chr01	1050000	88.043852779953
Chr01	1075000	88.633865248227
Chr01	1100000	86.9854700854701
Chr01	1125000	87.5620437956204
Chr01	1150000	82.9669992325403
Chr01	1175000	79.6796473181484
Chr01	1200000	83.2389680923286
Chr01	1225000	82.7580701145436
Chr01	1250000	86.621
Chr01	1275000	85.9223623092236
Chr01	1300000	83.0486217457887
Chr01	1325000	81.7126965861143
Chr01	1350000	82.6430250783699
Chr01	1375000	83.344
Chr01	1400000	85.2492113564669
Chr01	1425000	86.8388842631141
Chr01	1450000	86.3974527887571
Chr01	1475000	89.3796567601507
Chr01	1500000	89.8803921568627
Chr01	1525000	90.2969295184927
Chr01	1550000	91.0148771021992
Chr01	1575000	92.1661382371592
Chr01	1600000	91.8813713592233
